Ps,I_test,CompSpeed,P_dis_es,P_dis
844.289185,12.242370,3660.599854,3415.972412,3415.251465
843.072632,12.228106,3662.400146,3410.479248,3411.149902
843.680847,12.220189,3656.399902,3414.324463,3411.149902
843.072632,12.211336,3662.400146,3405.535400,3402.946777
844.897522,12.221910,3663.600098,3406.634033,3407.048340
844.289185,12.189597,3661.199951,3399.492920,3398.845215
841.247803,12.184776,3660.599854,3400.042236,3402.946777
841.247803,12.193289,3660.000000,3403.338135,3402.946777
841.856140,12.167068,3655.199951,3400.042236,3402.946777
841.856140,12.155807,3663.600098,3387.957275,3386.540527
841.856140,12.166384,3658.800049,3396.197021,3394.743652
840.031250,12.157183,3661.199951,3391.802490,3394.743652
840.031250,12.156839,3661.199951,3391.802490,3390.642090
841.856140,12.157875,3660.599854,3391.802490,3390.642090
843.072632,12.147646,3659.400146,3389.055908,3386.540527
842.464355,12.149363,3657.599854,3391.802490,3394.743652
841.247803,12.139132,3658.800049,3387.957275,3386.540527
840.639465,12.144981,3657.599854,3391.253174,3390.642090
841.247803,12.139476,3657.000000,3390.154541,3390.642090
843.680847,12.149706,3652.800049,3396.197021,3394.743652
842.464355,12.168104,3662.400146,3392.351807,3394.743652
842.464355,12.168445,3659.400146,3395.647705,3394.743652
844.289185,12.147986,3657.000000,3390.703857,3390.642090
843.072632,12.157875,3665.399902,3385.760010,3386.540527
843.072632,12.166384,3663.000000,3391.253174,3390.642090
843.680847,12.171197,3659.400146,3395.647705,3394.743652
843.680847,12.174546,3658.200195,3398.394287,3398.845215
843.072632,12.195350,3657.000000,3406.084717,3407.048340
847.330566,12.202142,3663.600098,3398.943604,3398.845215
847.330566,12.219156,3660.599854,3407.183350,3407.048340
847.938904,12.201449,3664.199951,3397.844971,3398.845215
849.763611,12.219849,3658.800049,3408.281982,3411.149902
843.680847,12.200766,3660.599854,3403.887451,3402.946777
846.722229,12.227667,3664.199951,3406.634033,3407.048340
846.722229,12.226730,3661.799805,3408.831299,3411.149902
846.722229,12.230419,3658.800049,3413.225830,3411.149902
846.722229,12.220532,3655.800049,3413.225830,3411.149902
844.897522,12.231795,3666.600098,3406.634033,3407.048340
845.505737,12.219156,3658.800049,3410.479248,3411.149902
846.114014,12.222601,3660.599854,3408.831299,3411.149902
843.072632,12.219937,3662.400146,3408.281982,3407.048340
843.680847,12.211336,3658.200195,3409.380615,3411.149902
843.680847,12.191220,3663.000000,3398.394287,3398.845215
841.247803,12.167412,3659.400146,3396.197021,3394.743652
840.031250,12.157531,3660.000000,3392.901123,3394.743652
839.422913,12.130970,3660.599854,3384.661377,3386.540527
838.814758,12.155211,3659.400146,3393.450439,3394.743652
840.031250,12.140509,3657.599854,3390.154541,3390.642090
840.639465,12.121085,3660.000000,3381.365479,3382.438965
837.598083,12.121426,3659.400146,3384.112061,3386.540527
835.773376,12.110944,3663.000000,3378.069580,3378.337402
835.165039,12.113607,3658.800049,3383.562744,3382.438965
836.989868,12.107507,3659.400146,3380.266846,3378.337402
838.814758,12.116016,3658.200195,3383.013428,3382.438965
840.031250,12.122461,3657.599854,3384.661377,3386.540527
837.598083,12.092112,3660.000000,3374.224365,3374.235840
836.989868,12.113948,3661.799805,3379.717529,3378.337402
837.598083,12.105095,3661.199951,3376.970947,3378.337402
838.206421,12.112320,3661.799805,3378.069580,3378.337402
838.814758,12.120393,3660.599854,3381.914795,3382.438965
